,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,type,,,val,,,
,,,,,,,,,,,qnan,,,0x7FC1,,,
,,,,,,,,,,,-snan,,,0xFFA1,,,
,,,,,,,,,,,inf,,,0x7F80,,,
,,,,,,,,,,,-inf,,,0xFF80,,,
,,,,,,,,,,,zero,,,0x0000,,,
,,,,,,,,,,,-zero,,,0x8000,,,
,,,,,,,,,,,normal,,,0x3FC1,,,
,,,,,,,,,,,-normal,,,0xBFC0,,,
,,,,,,,,,,,normal_l25,,,0x3300,,,
,,,,,,,,,,,normal_e3,,,0x4100,,,
,,,,,,,,,,,normal_1,,,0x3f80,,,
,,,,,,,,,,,subnormal,,,0x0040,,,
,,,,,,,,,,,-subnormal,,,0x8040,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,test,,,,,,
,,,,,,,,,,,x,,y,,exp_out,,test_out
,,,,,,,,,,,-snan,,qnan,,0x7FC0,,
,,,,,,,,,,,qnan,,normal,,0x7FC0,,
,,,,,,,,,,,normal,,-snan,,0x7FC0,,
,,,,,,,,,,,-qnan,,zero,,0x7FC0,,
,,,,,,,,,,,-zero,,snan,,0x7FC0,,
,,,,,,,,,,,-snan,,inf,,0x7FC0,,
,,,,,,,,,,,-inf,,qnan,,0x7FC0,,
,,,,,,,,,,,-inf,,zero,,0x7FC0,,
,,,,,,,,,,,-zero,,inf,,0x7FC0,,
,,,,,,,,,,,inf,,subnormal,,0x7FC0,,
,,,,,,,,,,,-inf,,inf,,0xFF80,,
,,,,,,,,,,,-zero,,zero,,0x8000,,
,,,,,,,,,,,-inf,,noraml,,0xFF80,,
,,,,,,,,,,,inf,,normal,,0x7F80,,
,,,,,,,,,,,subnormal,,-subnormal,,0x8000,,
,,,,,,,,,,,-subnormal,,normal,,0x8000,,
,,,,,,,,,,,normal_l25,,normal_1,,0x3400,,
,,,,,,,,,,,normal_l25,,normal_e3,,0x3480,,
