,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,type,,,val,,,
,,,,,,,,,qnan,,,0x7FC0,,,
,,,,,,,,,snan,,,0xFFA0,,,
,,,,,,,,,inf,,,0x7F80,,,
,,,,,,,,,-inf,,,0xFF80,,,
,,,,,,,,,zero,,,0x0000,,,
,,,,,,,,,-zero,,,0x8000,,,
,,,,,,,,,normal,,,0x3FC1,,,
,,,,,,,,,-normal,,,0xBFC0,,,
,,,,,,,,,-normal_1,,,0xBFC1,,,
,,,,,,,,,subnormal,,,0x0040,,,
,,,,,,,,,-subnormal_1,,,0x8041,,,
,,,,,,,,,-subnormal,,,0x8040,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,test,,,,,,
,,,,,,,,,x,,y,,exp_out,,test_out
,,,,,,,,,snan,,normal,,1,,
,,,,,,,,,qnan,,normal,,1,,
,,,,,,,,,normal,,snan,,1,,
,,,,,,,,,snan,,snan,,1,,
,,,,,,,,,qnan,,qnan,,1,,
,,,,,,,,,inf,,inf,,0,,
,,,,,,,,,-inf,,-inf,,0,,
,,,,,,,,,-inf,,inf,,1,,
,,,,,,,,,inf,,-inf,,1,,
,,,,,,,,,normal,,inf,,1,,
,,,,,,,,,inf,,normal,,1,,
,,,,,,,,,-inf,,normal,,1,,
,,,,,,,,,normal,,-inf,,1,,
,,,,,,,,,zero,,zero,,0,,
,,,,,,,,,-zero,,-zero,,0,,
,,,,,,,,,-zero,,zero,,0,,
,,,,,,,,,zero,,-zero,,0,,
,,,,,,,,,zero,,normal,,1,,
,,,,,,,,,normal,,zero,,1,,
,,,,,,,,,-zero,,normal,,1,,
,,,,,,,,,subnormal,,normal,,1,,
,,,,,,,,,subnormal,,subnormal,,0,,
,,,,,,,,,-subnormal_1,,-subnormal,,1,,
,,,,,,,,,normal,,-normal,,1,,
,,,,,,,,,-normal_1,,-normal,,1,,
,,,,,,,,,-normal,,-normal_1,,1,,
