,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,type,,,val,
,,,,,,,,,qnan,,,0x7FC80000,
,,,,,,,,,snan,,,0xFFA00000,
,,,,,,,,,inf,,,0x7F800000,
,,,,,,,,,-inf,,,0xFF800000,
,,,,,,,,,zero,,,0x00000000,
,,,,,,,,,-zero,,,0x80000000,
,,,,,,,,,normal,,,0x3FC00001,
,,,,,,,,,-normal,,,0xBFC00000,
,,,,,,,,,subnormal,,,0x00400000,
,,,,,,,,,-subnormal,,,0x80400000,
,,,,,,,,,,,,,
,,,,,,,,,test,,,,
,,,,,,,,,x,,exp_out,,test_out
,,,,,,,,,qnan,,0x0,,
,,,,,,,,,snan,,0x0,,
,,,,,,,,,+inf,,0x7,,
,,,,,,,,,-inf,,0x8,,
,,,,,,,,,+zero,,0x0,,
,,,,,,,,,-zero,,0x0,,
,,,,,,,,,+subnormal,,0x0,,
,,,,,,,,,-subnormal,,0x0,,
,,,,,,,,,normal,,0x2,,
,,,,,,,,,-normal,,0xE,,
