type,,,val,
,,,0xFF,
-normal_max,,,0xFE,
-normal,,,0xE4,
-normal_min,,,0x88,
-sub_max,,,0x87,
-sub,,,0x85,
-sub_min,,,0x81,
-zero,,,0x80,
zero,,,0x00,
sub_min,,,0x01,
sub,,,0x05,
sub_max,,,0x07,
normal_min,,,0x08,
normal,,,0x64,
normal_max,,,0x7E,
,,,0x7F,
,,,,
test,,,,
x,,exp_out,,test_out
,,0x7FC0,,
-normal_max,,0xC3E0,,
-normal,,0xC240,,
-normal_min,,0xBC80,,
-sub_max,,0xBC60,,
-sub,,0xBC20,,
-sub_min,,0xBB00,,
-zero,,0x8000,,
zero,,0x0000,,
sub_min,,0x3B00,,
sub,,0x3C20,,
sub_max,,0x3C60,,
normal_min,,0x3C80,,
normal,,0x4240,,
normal_max,,0x43E0,,
,,0x7FC0,,
