,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,type,,,val,,,
,,,,,,,,,,qnan,,,0x7FC0,,,
,,,,,,,,,,snan,,,0xFFA0,,,
,,,,,,,,,,inf,,,0x7F80,,,
,,,,,,,,,,-inf,,,0xFF80,,,
,,,,,,,,,,zero,,,0x0000,,,
,,,,,,,,,,-zero,,,0x8000,,,
,,,,,,,,,,normal,,,0x3FC1,,,
,,,,,,,,,,-normal,,,0xBFC0,,,
,,,,,,,,,,subnormal,,,0x0040,,,
,,,,,,,,,,-subnormal,,,0x8040,,,
,,,,,,,,,,subnormal_a,,,0x3C00,,,
,,,,,,,,,,subnormal_b,,,0x3BFF,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,test,,,,,,
,,,,,,,,,,x,,y,,exp_out,,test_out
,,,,,,,,,,qnan,,subnormal_b,,1,,
,,,,,,,,,,snan,,subnormal_a,,0,,
,,,,,,,,,,inf,,-subnormal,,0,,
,,,,,,,,,,-inf,,subnormal,,0,,
,,,,,,,,,,zero,,-normal,,0,,
,,,,,,,,,,-zero,,normal,,0,,
,,,,,,,,,,normal,,-zero,,0,,
,,,,,,,,,,-normal,,zero,,0,,
,,,,,,,,,,subnormal,,-inf,,0,,
,,,,,,,,,,-subnormal,,inf,,0,,
,,,,,,,,,,subnormal_a,,snan,,0,,
,,,,,,,,,,subnormal_b,,qnan,,1,,
