,,,,,,,,,,
,,type,,,val,,,,,
,,qnan,,,0x7FC80000,,,,,
,,snan,,,0xFFA00000,,,,,
,,inf,,,0x7F800000,,,,,
,,-inf,,,0xFF800000,,,,,
,,zero,,,0x00000000,,,,,
,,-zero,,,0x80000000,,,,,
,,normal_a,,,0x34000000,,,,,
,,-normal_a,,,0xB4000000,,,,,
,,normal_b,,,0x33FFFFFF,,,,,
,,-normal_b,,,0xB3FFFFFF,,,,,
,,subnormal,,,0x00400000,,,,,
,,-subnormal,,,0x80400000,,,,,
,,qnan_16,,,0x00007FC0,,,,,
,,snan_16,,,0x0000FFA0,,,,,
,,inf_16,,,0x00007F80,,,,,
,,-inf_16,,,0x0000FF80,,,,,
,,zero_16,,,0x00000000,,,,,
,,-zero_16,,,0x00008000,,,,,
,,normal_16a,,,0x00003C00,,,,,
,,-normal_16a,,,0x0000BC00,,,,,
,,normal_16b,,,0x00003BFF,,,,,
,,-normal_16b,,,0x0000BBFF,,,,,
,,subnormal_16,,,0x00000040,,,,,
,,-subnormal_16,,,0x00008040,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,"test (y = {y_high,y_low})",,,,,,,,
,,x,,y_high,,y_low,,exp_out,,test_out
,,snan,,normal_16a,,normal_16b,,0x7FC80000,,
,,snan,,snan_16,,normal_16b,,0x7FC80000,,
,,snan,,normal_16b,,snan_16,,0x7FC80000,,
,,snan,,snan_16,,snan_16,,0x7FC80000,,
,,inf,,inf_16,,normal_16a,,0x7F800000,,
,,-inf,,-inf_16,,-inf_16,,0xFF800000,,
,,inf,,-inf_16,,-inf_16,,0xFF800000,,
,,inf,,normal_16a,,normal_16b,,0x3C000000,,
,,-inf,,normal_16a,,normal_16b,,0x3BFF0000,,
,,zero,,zero_16,,zero_16,,0x00000000,,
,,-zero,,-zero_16,,-zero_16,,0x80000000,,
,,zero,,-zero_16,,-zero_16,,0x80000000,,
,,zero,,normal_16a,,normal_16b,,0x3BFF0000,,
,,-zero,,normal_16a,,normal_16b,,0x3BFF0000,,
,,subnormal,,normal_16a,,normal_16b,,0x3BFF0000,,
,,subnormal,,subnormal_16,,subnormal_16,,0x00400000,,
,,normal_a,,-normal_16a,,-normal_16b,,0xBBFF0000,,
,,normal_a,,normal_16a,,normal_16b,,0x3BFF0000,,
