,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,type,,,val,,,
,,,,,,,,,,normal_carry,,,0x409C0000,,,
,,,,,,,,,,rand_carry_y,,,0x00000001,,,
,,,,,,,,,,rand_carry_n,,,0x00700001,,,
,,,,,,,,,,rand_carry_n_q,,,0x00700000,,,
,,,,,,,,,,-normal_nocarry,,,0xC0800000,,,
,,,,,,,,,,rand_nocarry_n,,,0x00000000,,,
,,,,,,,,,,-normal_nocarry_a,,,0xC0800001,,,
,,,,,,,,,,rand_nocarry_y_a,,,0x00000000,,,
,,,,,,,,,,rand_nocarry_n_a,,,0x00080000,,,
,,,,,,,,,,-snan,,,0xFFA00000,,,
,,,,,,,,,,-inf,,,0xFF800000,,,
,,,,,,,,,,-normal_overflow2,,,0xC7700000,,,
,,,,,,,,,,-normal_overflow1,,,0xC768FFFF,,,
,,,,,,,,,,-normal_max,,,0xC7600000,,,
,,,,,,,,,,-normal,,,0xBFC00000,,,
,,,,,,,,,,-normal_min,,,0xB8800000,,,
,,,,,,,,,,-sub_max,,,0xB8400000,,,
,,,,,,,,,,-sub,,,0xB7E00000,,,
,,,,,,,,,,-sub_min,,,0xB7800000,,,
,,,,,,,,,,-sub_underflow2,,,0xB7000001,,,
,,,,,,,,,,-sub_underflow1,,,0xB7000000,,,
,,,,,,,,,,-zero,,,0x80000000,,,
,,,,,,,,,,zero,,,0x00000000,,,
,,,,,,,,,,sub_underflow1,,,0x37000000,,,
,,,,,,,,,,sub_underflow2,,,0x37000001,,,
,,,,,,,,,,sub_min,,,0x37800000,,,
,,,,,,,,,,sub,,,0x37E00000,,,
,,,,,,,,,,sub_max,,,0x38400000,,,
,,,,,,,,,,normal_min,,,0x38800000,,,
,,,,,,,,,,normal,,,0x3FC00000,,,
,,,,,,,,,,normal_max,,,0x47600000,,,
,,,,,,,,,,normal_overflow1,,,0x4768FFFF,,,
,,,,,,,,,,normal_overflow2,,,0x47700000,,,
,,,,,,,,,,inf,,,0x7F800000,,,
,,,,,,,,,,qnan,,,0x7FC80000,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,test,,,,,,
,,,,,,,,,,x,,y,,exp_out,,test_out
,,,,,,,,,,normal_carry,,rand_carry_y,,0x45,,
,,,,,,,,,,normal_carry,,rand_carry_n,,0x44,,
,,,,,,,,,,normal_carry,,rand_carry_n_q,,0x44,,
,,,,,,,,,,-normal_nocarry,,rand_nocarry_n,,0xC4,,
,,,,,,,,,,-normal_nocarry_a,,rand_nocarry_y_a,,0xC5,,
,,,,,,,,,,-normal_nocarry_a,,rand_nocarry_n_a,,0xC4,,
,,,,,,,,,,-snan,,rand_nocarry_n,,0x7E,,
,,,,,,,,,,-inf,,rand_carry_n_q,,0xFC,,
,,,,,,,,,,-normal_overflow2,,rand_nocarry_n,,0xFC,,
,,,,,,,,,,-normal_overflow1,,rand_carry_n_q,,0xFB,,
,,,,,,,,,,-normal_max,,rand_nocarry_n,,0xFB,,
,,,,,,,,,,-normal,,rand_carry_n_q,,0xBE,,
,,,,,,,,,,-normal_min,,rand_nocarry_n,,0x84,,
,,,,,,,,,,-sub_max,,rand_carry_n_q,,0x83,,
,,,,,,,,,,-sub,,rand_nocarry_n,,0x82,,
,,,,,,,,,,-sub_min,,rand_carry_n_q,,0x81,,
,,,,,,,,,,-sub_underflow2,,rand_nocarry_n,,0x81,,
,,,,,,,,,,-sub_underflow1,,rand_carry_n_q,,0x80,,
,,,,,,,,,,-zero,,rand_nocarry_n,,0x80,,
,,,,,,,,,,zero,,rand_carry_n_q,,0x00,,
,,,,,,,,,,sub_underflow1,,rand_nocarry_n,,0x00,,
,,,,,,,,,,sub_underflow2,,rand_carry_n_q,,0x01,,
,,,,,,,,,,sub_min,,rand_nocarry_n,,0x01,,
,,,,,,,,,,sub,,rand_carry_n_q,,0x02,,
,,,,,,,,,,sub_max,,rand_nocarry_n,,0x03,,
,,,,,,,,,,normal_min,,rand_carry_n_q,,0x04,,
,,,,,,,,,,normal,,rand_nocarry_n,,0x3E,,
,,,,,,,,,,normal_max,,rand_carry_n_q,,0x7B,,
,,,,,,,,,,normal_overflow1,,rand_nocarry_n,,0x7B,,
,,,,,,,,,,normal_overflow2,,rand_carry_n_q,,0x7C,,
,,,,,,,,,,inf,,rand_nocarry_n,,0x7C,,
,,,,,,,,,,qnan,,rand_carry_n_q,,0x7E,,
