type,,,val,
num0,,,0x00,
num8,,,0x08,
num16,,,0x10,
num24,,,0x18,
num32,,,0x20,
num40,,,0x28,
num48,,,0x30,
num56,,,0x38,
num64,,,0x40,
num72,,,0x48,
num80,,,0x50,
num88,,,0x58,
num96,,,0x60,
num104,,,0x68,
num112,,,0x70,
num120,,,0x78,
num128,,,0x80,
num136,,,0x88,
num144,,,0x90,
num152,,,0x98,
num160,,,0xA0,
num168,,,0xA8,
num176,,,0xB0,
num184,,,0xB8,
num192,,,0xC0,
num200,,,0xC8,
num208,,,0xD0,
num216,,,0xD8,
num224,,,0xE0,
num232,,,0xE8,
num240,,,0xF0,
num248,,,0xF8,
,,,,
test,,,,
x,,exp_out,,test_out
num0,,0x0000,,
num8,,0x4100,,
num16,,0x4180,,
num24,,0x41C0,,
num32,,0x4200,,
num40,,0x4220,,
num48,,0x4240,,
num56,,0x4260,,
num64,,0x4280,,
num72,,0x4290,,
num80,,0x42A0,,
num88,,0x42B0,,
num96,,0x42C0,,
num104,,0x42D0,,
num112,,0x42E0,,
num120,,0x42F0,,
num128,,0x4300,,
num136,,0x4308,,
num144,,0x4310,,
num152,,0x4318,,
num160,,0x4320,,
num168,,0x4328,,
num176,,0x4330,,
num184,,0x4338,,
num192,,0x4340,,
num200,,0x4348,,
num208,,0x4350,,
num216,,0x4358,,
num224,,0x4360,,
num232,,0x4368,,
num240,,0x4370,,
num248,,0x4378,,
