type,,,val,
num0,,,0x0,
num1,,,0x1,
num2,,,0x2,
num3,,,0x3,
num4,,,0x4,
num5,,,0x5,
num6,,,0x6,
num7,,,0x7,
num8,,,0x8,
num9,,,0x9,
num10,,,0xA,
num11,,,0xB,
num12,,,0xC,
num13,,,0xD,
num14,,,0xE,
num15,,,0xF,
,,,,
test,,,,
x,,exp_out,,test_out
num0,,0x0000,,
num1,,0x3F00,,
num2,,0x3F80,,
num3,,0x3FC0,,
num4,,0x4000,,
num5,,0x4040,,
num6,,0x4080,,
num7,,0x40C0,,
num8,,0x8000,,
num9,,0xBF00,,
num10,,0xBF80,,
num11,,0xBFC0,,
num12,,0xC000,,
num13,,0xC040,,
num14,,0xC080,,
num15,,0xC0C0,,
