,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,type,,,val,,,,,
,,,,,,,,,qnan,,,0x7FC0A000,,,,,
,,,,,,,,,-snan,,,0xFF800001,,,,,
,,,,,,,,,inf,,,0x7F800000,,,,,
,,,,,,,,,-inf,,,0xFF800000,,,,,
,,,,,,,,,zero,,,0x00000000,,,,,
,,,,,,,,,-zero,,,0x80000000,,,,,
,,,,,,,,,normal,,,0x3FC00001,,,,,
,,,,,,,,,-normal,,,0xBFC00000,,,,,
,,,,,,,,,normal_l25,,,0x33000000,,,,,
,,,,,,,,,normal_e3,,,0x41000000,,,,,
,,,,,,,,,normal_1,,,0x3f800000,,,,,
,,,,,,,,,subnormal,,,0x00400000,,,,,
,,,,,,,,,-subnormal,,,0x80400000,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,test,,,,,,,,
,,,,,,,,,x,,y,,exp_out,,test_out,,
,,,,,,,,,-snan,,qnan,,0x7FC00000,,,,
,,,,,,,,,qnan,,normal,,0x7FC00000,,,,
,,,,,,,,,normal,,-snan,,0x7FC00000,,,,
,,,,,,,,,-qnan,,zero,,0x7FC00000,,,,
,,,,,,,,,-zero,,snan,,0x7FC00000,,,,
,,,,,,,,,-snan,,inf,,0x7FC00000,,,,
,,,,,,,,,-inf,,qnan,,0x7FC00000,,,,
,,,,,,,,,-inf,,zero,,0x7FC00000,,,,
,,,,,,,,,-zero,,inf,,0x7FC00000,,,,
,,,,,,,,,inf,,subnormal,,0x7FC00000,,,,
,,,,,,,,,-inf,,inf,,0xFF800000,,,,
,,,,,,,,,-zero,,zero,,0x80000000,,,,
,,,,,,,,,-inf,,noraml,,0xFF800000,,,,
,,,,,,,,,inf,,normal,,0x7F800000,,,,
,,,,,,,,,subnormal,,-subnormal,,0x80000000,,,,
,,,,,,,,,-subnormal,,normal,,0x80000000,,,,
,,,,,,,,,normal_l25,,normal_1,,0x34000000,,,,l23×1时，l23会被钳位到q23
,,,,,,,,,normal_l25,,normal_e3,,0x34800000,,,,l25×e^3
