,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,type,,,val,,,
,,,,qnanh,,,0x7FC00000,,,
,,,,-qnanh,,,0xFFC00000,,,
,,,,snanh,,,0x7F800000,,,
,,,,-snanh,,,0xFF800000,,,
,,,,infh,,,0x7F800000,,,
,,,,-infh,,,0xFF800000,,,
,,,,zeroh,,,0x00000000,,,
,,,,-zeroh,,,0x80000000,,,
,,,,normalh,,,0x3FC10000,,,
,,,,normal_1h,,,0x3C000000,,,
,,,,normal_2h,,,0x3BFF0000,,,
,,,,-normalh,,,0xBFC00000,,,
,,,,subnormalh,,,0x00400000,,,
,,,,-subnormalh,,,0x80400000,,,
,,,,qnanl,,,0x00007FC0,,,
,,,,-qnanl,,,0x0000FFC0,,,
,,,,snanl,,,0x00007F80,,,
,,,,-snanl,,,0x0000FF80,,,
,,,,infl,,,0x00007F80,,,
,,,,-infl,,,0x0000FF80,,,
,,,,zerol,,,0x00000000,,,
,,,,-zerol,,,0x00008000,,,
,,,,normall,,,0x00003FC1,,,
,,,,normal_1l,,,0x00003C00,,,
,,,,normal_2l,,,0x00003BFF,,,
,,,,-normall,,,0x0000BFC0,,,
,,,,subnormall,,,0x00000040,,,
,,,,-subnormall,,,0x00008040,,,
,,,,bnormal_1,,,0x3C003FC1,,,
,,,,bnormal_2,,,0x3BFF3FC2,,,
,,,,,,,,,,
,,,,test,,,,,,
,,,,x,,y,,exp_out,,test_out
,,,,qnanh,,infh,,0x7FC00000,,
,,,,-infh,,qnanh,,0x7FC00000,,
,,,,-qnanh,,zeroh,,0x7FC00000,,
,,,,-zeroh,,-qnanh,,0x7FC00000,,
,,,,snanh,,normalh,,0x7FC00000,,
,,,,-normalh,,snanh,,0x7FC00000,,
,,,,-snanh,,subnormalh,,0x7FC00000,,
,,,,-subnormalh,,-snanh,,0x7FC00000,,
,,,,zeroh,,zeroh,,0x00000000,,
,,,,zeroh,,subnormalh,,0x00000000,,
,,,,zeroh,,normalh,,0x00000000,,
,,,,zeroh,,normal_1h,,0x00000000,,
,,,,zeroh,,normal_2h,,0x00000000,,
,,,,zeroh,,infh,,0x00000000,,
,,,,zeroh,,-zeroh,,0x00000000,,
,,,,subnormalh,,zeroh,,0x00000000,,
,,,,subnormalh,,subnormalh,,0x00000000,,
,,,,subnormalh,,normalh,,0x00000000,,
,,,,subnormalh,,normal_1h,,0x00000000,,
,,,,subnormalh,,normal_2h,,0x00000000,,
,,,,subnormalh,,infh,,0x00000000,,
,,,,subnormalh,,-subnormalh,,0x00000000,,
,,,,normalh,,zeroh,,0x00000000,,
,,,,normalh,,subnormalh,,0x00000000,,
,,,,normalh,,normalh,,0x3F010000,,
,,,,normalh,,normal_1h,,0x3C000000,,
,,,,normalh,,normal_2h,,0x3BFF0000,,
,,,,normalh,,infh,,0x3FC10000,,
,,,,normalh,,-normalh,,0x00000000,,
,,,,infh,,zeroh,,0x00000000,,
,,,,infh,,subnormalh,,0x00000000,,
,,,,infh,,normalh,,0x3F010000,,
,,,,infh,,normal_1h,,0x3C000000,,
,,,,infh,,normal_2h,,0x3BFF0000,,
,,,,infh,,infh,,0x7F800000,,
,,,,infh,,-infh,,0x00000000,,
,,,,-zeroh,,zeroh,,0x00000000,,
,,,,-zeroh,,subnormalh,,0x00000000,,
,,,,-zeroh,,normalh,,0x00000000,,
,,,,-zeroh,,normal_1h,,0x00000000,,
,,,,-zeroh,,normal_2h,,0x00000000,,
,,,,-zeroh,,infh,,0x00000000,,
,,,,-zeroh,,-zeroh,,0x00000000,,
,,,,-subnormalh,,zeroh,,0x00000000,,
,,,,-subnormalh,,subnormalh,,0x00000000,,
,,,,-subnormalh,,normalh,,0x00000000,,
,,,,-subnormalh,,normal_1h,,0x00000000,,
,,,,-subnormalh,,normal_2h,,0x00000000,,
,,,,-subnormalh,,infh,,0x00000000,,
,,,,-subnormalh,,-zeroh,,0x00000000,,
,,,,-normalh,,zeroh,,0x00000000,,
,,,,-normalh,,subnormalh,,0x00000000,,
,,,,-normalh,,normalh,,0x00000000,,
,,,,-normalh,,normal_1h,,0x00000000,,
,,,,-normalh,,normal_2h,,0x00000000,,
,,,,-normalh,,infh,,0x00000000,,
,,,,-normalh,,-normalh,,0x00000000,,
,,,,-infh,,zeroh,,0x00000000,,
,,,,-infh,,subnormalh,,0x00000000,,
,,,,-infh,,normalh,,0x00000000,,
,,,,-infh,,normal_1h,,0x00000000,,
,,,,-infh,,normal_2h,,0x00000000,,
,,,,-infh,,infh,,0x00000000,,
,,,,-infh,,-infh,,0x00000000,,
,,,,normal_1h,,zeroh,,0x00000000,,
,,,,normal_1h,,subnormalh,,0x00000000,,
,,,,normal_1h,,normalh,,0x3C000000,,
,,,,normal_1h,,normal_1h,,0x3C000000,,
,,,,normal_1h,,normal_2h,,0x3BFF0000,,
,,,,normal_1h,,infh,,0x3C000000,,
,,,,normal_1h,,-normalh,,0x00000000,,
,,,,normal_2h,,zeroh,,0x00000000,,
,,,,normal_2h,,subnormalh,,0x00000000,,
,,,,normal_2h,,normalh,,0x3BFF0000,,
,,,,normal_2h,,normal_1h,,0x3BFF0000,,
,,,,normal_2h,,normal_2h,,0x3BFF0000,,
,,,,normal_2h,,infh,,0x3BFF0000,,
,,,,normal_2h,,-normalh,,0x00000000,,
,,,,qnanl,,infl,,0x00007FC0,,
,,,,-infl,,qnanl,,0x00007FC0,,
,,,,-qnanl,,zerol,,0x00007FC0,,
,,,,-zerol,,-qnanl,,0x00007FC0,,
,,,,snanl,,normall,,0x00007FC0,,
,,,,-normall,,snanl,,0x00007FC0,,
,,,,-snanl,,subnormall,,0x00007FC0,,
,,,,-subnormall,,-snanl,,0x00007FC0,,
,,,,zerol,,zerol,,0x00000000,,
,,,,zerol,,subnormall,,0x00000000,,
,,,,zerol,,normall,,0x00000000,,
,,,,zerol,,normal_1l,,0x00000000,,
,,,,zerol,,normal_2l,,0x00000000,,
,,,,zerol,,infl,,0x00000000,,
,,,,zerol,,-zerol,,0x00000000,,
,,,,subnormall,,zerol,,0x00000000,,
,,,,subnormall,,subnormall,,0x00000000,,
,,,,subnormall,,normall,,0x00000000,,
,,,,subnormall,,normal_1l,,0x00000000,,
,,,,subnormall,,normal_2l,,0x00000000,,
,,,,subnormall,,infl,,0x00000000,,
,,,,subnormall,,-subnormall,,0x00000000,,
,,,,normall,,zerol,,0x00000000,,
,,,,normall,,subnormall,,0x00000000,,
,,,,normall,,normall,,0x00003F01,,
,,,,normall,,normal_1l,,0x00003C00,,
,,,,normall,,normal_2l,,0x00003BFF,,
,,,,normall,,infl,,0x00003FC1,,
,,,,normall,,-normall,,0x00000000,,
,,,,infl,,zerol,,0x00000000,,
,,,,infl,,subnormall,,0x00000000,,
,,,,infl,,normall,,0x00003F01,,
,,,,infl,,normal_1l,,0x00003C00,,
,,,,infl,,normal_2l,,0x00003BFF,,
,,,,infl,,infl,,0x00007F80,,
,,,,infl,,-infl,,0x00000000,,
,,,,-zerol,,zerol,,0x00000000,,
,,,,-zerol,,subnormall,,0x00000000,,
,,,,-zerol,,normall,,0x00000000,,
,,,,-zerol,,normal_1l,,0x00000000,,
,,,,-zerol,,normal_2l,,0x00000000,,
,,,,-zerol,,infl,,0x00000000,,
,,,,-zerol,,-zerol,,0x00000000,,
,,,,-subnormall,,zerol,,0x00000000,,
,,,,-subnormall,,subnormall,,0x00000000,,
,,,,-subnormall,,normall,,0x00000000,,
,,,,-subnormall,,normal_1l,,0x00000000,,
,,,,-subnormall,,normal_2l,,0x00000000,,
,,,,-subnormall,,infl,,0x00000000,,
,,,,-subnormall,,-zerol,,0x00000000,,
,,,,-normall,,zerol,,0x00000000,,
,,,,-normall,,subnormall,,0x00000000,,
,,,,-normall,,normall,,0x00000000,,
,,,,-normall,,normal_1l,,0x00000000,,
,,,,-normall,,normal_2l,,0x00000000,,
,,,,-normall,,infl,,0x00000000,,
,,,,-normall,,-normall,,0x00000000,,
,,,,-infl,,zerol,,0x00000000,,
,,,,-infl,,subnormall,,0x00000000,,
,,,,-infl,,normall,,0x00000000,,
,,,,-infl,,normal_1l,,0x00000000,,
,,,,-infl,,normal_2l,,0x00000000,,
,,,,-infl,,infl,,0x00000000,,
,,,,-infl,,-infl,,0x00000000,,
,,,,normal_1l,,zerol,,0x00000000,,
,,,,normal_1l,,subnormall,,0x00000000,,
,,,,normal_1l,,normall,,0x00003C00,,
,,,,normal_1l,,normal_1l,,0x00003C00,,
,,,,normal_1l,,normal_2l,,0x00003BFF,,
,,,,normal_1l,,infl,,0x00003C00,,
,,,,normal_1l,,-normall,,0x00000000,,
,,,,normal_2l,,zerol,,0x00000000,,
,,,,normal_2l,,subnormall,,0x00000000,,
,,,,normal_2l,,normall,,0x00003BFF,,
,,,,normal_2l,,normal_1l,,0x00003BFF,,
,,,,normal_2l,,normal_2l,,0x00003BFF,,
,,,,normal_2l,,infl,,0x00003BFF,,
,,,,normal_2l,,-normall,,0x00000000,,
,,,,bnormal1,,bnormal2,,0x3BFF3FC2,,
,,,,bnormal2,,bnormal1,,0x3C003FC1,,
