type,,,val,
-snan,,,0xFFA00000,
-inf,,,0xFF800000,
-normal_overflow2,,,0xC7700000,
-normal_overflow1,,,0xC768FFFF,
-normal_max,,,0xC7600000,
-normal,,,0xBFC00000,
-normal_min,,,0xB8800000,
-sub_max,,,0xB8400000,
-sub,,,0xB7E00000,
-sub_min,,,0xB7800000,
-sub_underflow2,,,0xB7000001,
-sub_underflow1,,,0xB7000000,
-zero,,,0x80000000,
zero,,,0x00000000,
sub_underflow1,,,0x37000000,
sub_underflow2,,,0x37000001,
sub_min,,,0x37800000,
sub,,,0x37E00000,
sub_max,,,0x38400000,
normal_min,,,0x38800000,
normal,,,0x3FC00000,
normal_max,,,0x47600000,
normal_overflow1,,,0x4768FFFF,
normal_overflow2,,,0x47700000,
inf,,,0x7F800000,
qnan,,,0x7FC80000,
,,,,
test,,,,
x,,exp_out,,test_out
-snan,,0x7E,,
-inf,,0xFC,,
-normal_overflow2,,0xFC,,
-normal_overflow1,,0xFB,,
-normal_max,,0xFB,,
-normal,,0xBE,,
-normal_min,,0x84,,
-sub_max,,0x83,,
-sub,,0x82,,
-sub_min,,0x81,,
-sub_underflow2,,0x81,,
-sub_underflow1,,0x80,,
-zero,,0x80,,
zero,,0x00,,
sub_underflow1,,0x00,,
sub_underflow2,,0x01,,
sub_min,,0x01,,
sub,,0x02,,
sub_max,,0x03,,
normal_min,,0x04,,
normal,,0x3E,,
normal_max,,0x7B,,
normal_overflow1,,0x7B,,
normal_overflow2,,0x7C,,
inf,,0x7C,,
qnan,,0x7E,,
