,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,type,,,val,
,,,,,,,,,,,qnan,,,0x7FC0,
,,,,,,,,,,,snan,,,0xFFA0,
,,,,,,,,,,,inf,,,0x7F80,
,,,,,,,,,,,-inf,,,0xFF80,
,,,,,,,,,,,zero,,,0x0000,
,,,,,,,,,,,-zero,,,0x8000,
,,,,,,,,,,,normal,,,0x3FC1,
,,,,,,,,,,,-normal,,,0xBFC0,
,,,,,,,,,,,-normal_1,,,0xBFC1,
,,,,,,,,,,,subnormal,,,0x0040,
,,,,,,,,,,,-subnormal_1,,,0x8041,
,,,,,,,,,,,-subnormal,,,0x8040,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,test,,,,
,,,,,,,,,,,x,,exp_out,,test_out
,,,,,,,,,,,snan,,1,,
,,,,,,,,,,,qnan,,1,,
,,,,,,,,,,,inf,,1,,
,,,,,,,,,,,-inf,,1,,
,,,,,,,,,,,zero,,0,,
,,,,,,,,,,,-zero,,0,,
,,,,,,,,,,,subnormal,,0,,
,,,,,,,,,,,subnormal_1,,0,,
,,,,,,,,,,,normal,,0,,
,,,,,,,,,,,normal_1,,0,,
