type,,,val,
num0,,,0x0,
num1,,,0x1,
num2,,,0x2,
num3,,,0x3,
num4,,,0x4,
num5,,,0x5,
num6,,,0x6,
num7,,,0x7,
num8,,,0x8,
num9,,,0x9,
num10,,,0xA,
num11,,,0xB,
num12,,,0xC,
num13,,,0xD,
num14,,,0xE,
num15,,,0xF,
,,,,
test,,,,
x,,exp_out,,test_out
num0,,0x0000,,
num1,,0x3F80,,
num2,,0x4000,,
num3,,0x4040,,
num4,,0x4080,,
num5,,0x40A0,,
num6,,0x40C0,,
num7,,0x40E0,,
num8,,0x4100,,
num9,,0x4110,,
num10,,0x4120,,
num11,,0x4130,,
num12,,0x4140,,
num13,,0x4150,,
num14,,0x4160,,
num15,,0x4170,,
