,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,type,,,val,
,,,,,,qnan,,,0x7FC0,
,,,,,,snan,,,0xFFA0,
,,,,,,inf,,,0x7F80,
,,,,,,normal,,,0x3800,
,,,,,,normal2,,,0x3C00,
,,,,,,normal3,,,0x3BE0,
,,,,,,normal4,,,0x3E80,
,,,,,,normal5,,,0x3E60,
,,,,,,normal6,,,0x4760,
,,,,,,,,,,
,,,,,,test,,,,
,,,,,,x,,exp_out,,test_out
,,,,,,snan,,0x7E,,
,,,,,,inf,,0x7C,,
,,,,,,normal,,0x02,,
,,,,,,normal2,,0x20,,
,,,,,,normal3,,0x1F,,
,,,,,,normal4,,0x34,,
,,,,,,normal5,,0x33,,
,,,,,,normal6,,0x7B,,
