,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,type,,,val,,,
,,,,,,,,qnan,,,0x7FC00000,,,
,,,,,,,,snan,,,0xFFA00000,,,
,,,,,,,,inf,,,0x7F800000,,,
,,,,,,,,-inf,,,0xFF800000,,,
,,,,,,,,zero,,,0x00000000,,,
,,,,,,,,-zero,,,0x80000000,,,
,,,,,,,,normal,,,0x01C00001,,,
,,,,,,,,-normal,,,0x81C00001,,,
,,,,,,,,normal2,,,0x01C00000,,,
,,,,,,,,normal3,,,0x34000000,,,
,,,,,,,,-normal3,,,0xB4000000,,,
,,,,,,,,normal4,,,0x33FFFFFF,,,
,,,,,,,,-normal4,,,0xB3FFFFFF,,,
,,,,,,,,normal5,,,0x34800000,,,
,,,,,,,,normal6,,,0x347FFFFF,,,
,,,,,,,,subnormal,,,0x00400000,,,
,,,,,,,,-subnormal,,,0x80400000,,,
,,,,,,,,near_overflow,,,0x7F7FFFFF,,,
,,,,,,,,,,,,,,
,,,,,,,,test,,,,,,
,,,,,,,,x,,y,,exp_out,,test_out
,,,,,,,,snan,,normal,,0x7FC00000,,
,,,,,,,,normal,,snan,,0x7FC00000,,
,,,,,,,,snan,,snan,,0x7FC00000,,
,,,,,,,,inf,,inf,,0x7FC00000,,
,,,,,,,,-inf,,-inf,,0x7FC00000,,
,,,,,,,,inf,,-inf,,0x7F800000,,
,,,,,,,,-inf,,inf,,0xFF800000,,
,,,,,,,,inf,,normal,,0x7F800000,,
,,,,,,,,normal,,inf,,0xFF800000,,
,,,,,,,,-inf,,normal,,0xFF800000,,
,,,,,,,,normal,,-inf,,0x7F800000,,
,,,,,,,,zero,,zero,,0x00000000,,
,,,,,,,,-zero,,-zero,,0x00000000,,
,,,,,,,,zero,,-zero,,0x00000000,,
,,,,,,,,-zero,,zero,,0x80000000,,
,,,,,,,,zero,,normal,,0x81C00001,,
,,,,,,,,normal,,zero,,0x01C00001,,
,,,,,,,,-zero,,normal,,0x81C00001,,
,,,,,,,,normal,,-zero,,0x01C00001,,
,,,,,,,,normal,,subnormal,,0x01B00001,,
,,,,,,,,subnormal,,-subnormal,,0x00800000,,
,,,,,,,,normal,,normal2,,0x00000004,,
,,,,,,,,normal3,,-normal3,,0x34800000,,
,,,,,,,,normal4,,-normal4,,0x347FFFFF,,
,,,,,,,,normal5,,normal3,,0x34000000,,
,,,,,,,,normal6,,normal4,,0x33FFFFFF,,
,,,,,,,,near_overflow,,zero,,0x7F7FFFFF,,
