,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,type,,,val,,,
,,,,,,,,,,qnan,,,0x7FC80000,,,
,,,,,,,,,,snan,,,0xFFA00000,,,
,,,,,,,,,,inf,,,0x7F800000,,,
,,,,,,,,,,-inf,,,0xFF800000,,,
,,,,,,,,,,zero,,,0x00000000,,,
,,,,,,,,,,-zero,,,0x80000000,,,
,,,,,,,,,,normal,,,0x3FC00001,,,
,,,,,,,,,,normal_1,,,0x3FC00000,,,
,,,,,,,,,,-normal,,,0xBFC00000,,,
,,,,,,,,,,subnormal,,,0x00400000,,,
,,,,,,,,,,subnormal_1,,,0x00400001,,,
,,,,,,,,,,-subnormal,,,0x80400000,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,test,,,,,,
,,,,,,,,,,x,,y,,exp_out,,test_out
,,,,,,,,,,snan,,normal,,0x7FC80000,,
,,,,,,,,,,qnan,,normal,,0x7FC80000,,
,,,,,,,,,,normal,,snan,,0x7FC80000,,
,,,,,,,,,,snan,,snan,,0x7FC80000,,
,,,,,,,,,,inf,,inf,,0x7F800000,,
,,,,,,,,,,-inf,,-inf,,0xFF800000,,
,,,,,,,,,,inf,,-inf,,0x7F800000,,
,,,,,,,,,,inf,,normal,,0x7F800000,,
,,,,,,,,,,-inf,,normal,,0x3FC00001,,
,,,,,,,,,,zero,,zero,,0x00000000,,
,,,,,,,,,,-zero,,-zero,,0x80000000,,
,,,,,,,,,,zero,,-zero,,0x00000000,,
,,,,,,,,,,zero,,normal,,0x3FC00001,,
,,,,,,,,,,-zero,,normal,,0x3FC00001,,
,,,,,,,,,,subnormal,,normal,,0x3FC00001,,
,,,,,,,,,,subnormal,,subnormal,,0x00400000,,
,,,,,,,,,,subnormal,,subnormal_1,,0x00400001,,
,,,,,,,,,,normal,,-normal,,0x3FC00001,,
,,,,,,,,,,normal,,normal_1,,0x3FC00001,,
