,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,type,,,val,,,
,,,,,,,,,,,,,,normal_carry,,,40b80000,,,
,,,,,,,,,,,,,,rand_carry_y,,,0x00000001,,,
,,,,,,,,,,,,,,rand_carry_n,,,0x00700001,,,
,,,,,,,,,,,,,,rand_carry_n_q,,,0x00700000,,,
,,,,,,,,,,,,,,-normal_nocarry,,,0xC0800000,,,
,,,,,,,,,,,,,,rand_nocarry_n,,,0x00000000,,,
,,,,,,,,,,,,,,-normal_nocarry_a,,,0xC0800001,,,
,,,,,,,,,,,,,,rand_nocarry_y_a,,,0x00000000,,,
,,,,,,,,,,,,,,rand_nocarry_n_a,,,0x00080000,,,
,,,,,,,,,,,,,,-snan,,,0xFFA00000,,,
,,,,,,,,,,,,,,-inf,,,0xFF800000,,,
,,,,,,,,,,,,,,-normal_overflow,,,0xC1800000,,,
,,,,,,,,,,,,,,-normal_max,,,0xC0C00000,,,
,,,,,,,,,,,,,,-normal,,,0xC0400000,,,
,,,,,,,,,,,,,,-normal_min,,,0xBF800000,,,
,,,,,,,,,,,,,,-sub,,,0xBF000000,,,
,,,,,,,,,,,,,,-sub_underflow2,,,0xBE800001,,,
,,,,,,,,,,,,,,-sub_underflow1,,,0xBE800000,,,
,,,,,,,,,,,,,,-zero,,,0x80000000,,,
,,,,,,,,,,,,,,zero,,,0x00000000,,,
,,,,,,,,,,,,,,sub_underflow1,,,0x3E800000,,,
,,,,,,,,,,,,,,sub_underflow2,,,0x3E800001,,,
,,,,,,,,,,,,,,sub,,,0x3F000000,,,
,,,,,,,,,,,,,,normal_min,,,0x3F800000,,,
,,,,,,,,,,,,,,normal,,,0x40400000,,,
,,,,,,,,,,,,,,normal_max,,,0x40C00000,,,
,,,,,,,,,,,,,,normal_overflow,,,0x41800000,,,
,,,,,,,,,,,,,,inf,,,0x7F800000,,,
,,,,,,,,,,,,,,qnan,,,0x7FC80000,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,test,,,,,,
,,,,,,,,,,,,,,x,,y,,exp_out,,test_out
,,,,,,,,,,,,,,normal_carry,,rand_carry_y,,0x7,,
,,,,,,,,,,,,,,normal_carry,,rand_carry_n,,0x6,,
,,,,,,,,,,,,,,normal_carry,,rand_carry_n_q,,0x6,,
,,,,,,,,,,,,,,-normal_nocarry,,rand_nocarry_n,,0xE,,
,,,,,,,,,,,,,,-normal_nocarry_a,,rand_nocarry_y_a,,0xF,,
,,,,,,,,,,,,,,-normal_nocarry_a,,rand_nocarry_n_a,,0xE,,
,,,,,,,,,,,,,,-snan,,rand_nocarry_n,,0x0,,
,,,,,,,,,,,,,,-inf,,rand_carry_n_q,,0xF,,
,,,,,,,,,,,,,,-normal_overflow,,rand_nocarry_n,,0xF,,
,,,,,,,,,,,,,,-normal_max,,rand_carry_n_q,,0xF,,
,,,,,,,,,,,,,,-normal,,rand_nocarry_n,,0xD,,
,,,,,,,,,,,,,,-normal_min,,rand_carry_n_q,,0xA,,
,,,,,,,,,,,,,,-sub,,rand_nocarry_n,,0x9,,
,,,,,,,,,,,,,,-sub_underflow2,,rand_carry_n_q,,0x9,,
,,,,,,,,,,,,,,-sub_underflow1,,rand_nocarry_n,,0x8,,
,,,,,,,,,,,,,,-zero,,rand_carry_n_q,,0x8,,
,,,,,,,,,,,,,,zero,,rand_nocarry_n,,0x0,,
,,,,,,,,,,,,,,sub_underflow1,,rand_carry_n_q,,0x0,,
,,,,,,,,,,,,,,sub_underflow2,,rand_nocarry_n,,0x1,,
,,,,,,,,,,,,,,sub,,rand_carry_n_q,,0x1,,
,,,,,,,,,,,,,,normal_min,,rand_nocarry_n,,0x2,,
,,,,,,,,,,,,,,normal,,rand_carry_n_q,,0x5,,
,,,,,,,,,,,,,,normal_max,,rand_nocarry_n,,0x7,,
,,,,,,,,,,,,,,normal_overflow,,rand_carry_n_q,,0x7,,
,,,,,,,,,,,,,,inf,,rand_nocarry_n,,0x7,,
,,,,,,,,,,,,,,qnan,,rand_carry_n_q,,0x0,,
