,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,type,,,val,
,,,,,qnan_1,,,0x7FC00000,
,,,,,qnan_2,,,0x7FD55555,
,,,,,-qnan_1,,,0xFFC00000,
,,,,,-qnan_2,,,0xFFD55555,
,,,,,snan_1,,,0x7F800000,
,,,,,snan_2,,,0x7F955555,
,,,,,-snan_1,,,0xFF800000,
,,,,,-snan_2,,,0xFF955555,
,,,,,inf,,,0x7F800000,
,,,,,-inf,,,0xFF800000,
,,,,,zero,,,0x00000000,
,,,,,-zero,,,0x80000000,
,,,,,normal,,,0x3FC00001,
,,,,,normal_1,,,0x34000000,
,,,,,normal_2,,,0x33FFFFFF,
,,,,,-normal,,,0xBFC00000,
,,,,,subnormal,,,0x00400000,
,,,,,-subnormal,,,0x80400000,
,,,,,,,,,
,,,,,test,,,,
,,,,,x,,exp_out,,test_out
,,,,,qnan_1,,1,,
,,,,,qnan_2,,1,,
,,,,,-qnan_1,,1,,
,,,,,-qnan_2,,1,,
,,,,,snan_1,,1,,
,,,,,snan_2,,1,,
,,,,,-snan_1,,1,,
,,,,,-snan_2,,1,,
,,,,,inf,,1,,
,,,,,-inf,,1,,
,,,,,zero,,0,,
,,,,,-zero,,0,,
,,,,,normal,,0,,
,,,,,normal_1,,0,,
,,,,,normal_2,,0,,
,,,,,-normal,,0,,
,,,,,subnormal,,0,,
,,,,,-subnormal,,0,,
