,,,,,
,,,,,
,type,,,val,
,qnan,,,0x7FC80000,
,snan,,,0xFFA00000,
,inf,,,0x7F800000,
,-inf,,,0xFF800000,
,zero,,,0x00000000,
,-zero,,,0x80000000,
,normal_a,,,0x3FC00000,
,-normal_a,,,0xBFC00000,
,normal_b,,,0x40200000,
,-normal_b,,,0xC0200000,
,normal_c,,,0x40666666,
,-normal_c,,,0xC0666666,
,normal_d,,,0x40A9999A,
,-normal_d,,,0xC0A9999A,
,normal_e,,,0x34000000,
,-normal_e,,,0xB3FFFFFF,
,normal_f,,,0x7F7FFFFF,
,-normal_f,,,0xFF7FFFFF,
,subnormal_a,,,0x00400001,
,-subnormal_a,,,0x80400001,
,subnormal_b,,,0x00700020,
,-subnormal_b,,,0x80700020,
,,,,,
,,,,,
,,,,,
,test,,,,
,x,,exp_out,,test_out
,snan,,0x7FC80000,,
,qnan,,0x7FC80000,,
,inf,,0x7F800000,,
,-inf,,0xFF800000,,
,zero,,0x00000000,,
,-zero,,0x80000000,,
,normal_a,,0x40000000,,
,-normal_a,,0xC0000000,,
,normal_b,,0x40000000,,
,-normal_b,,0xC0000000,,
,normal_c,,0x40800000,,
,-normal_c,,0xC0800000,,
,normal_d,,0x40A00000,,
,-normal_d,,0xC0A00000,,
,normal_e,,0x34000000,,
,-normal_e,,0xB4000000,,
,normal_f,,0x7F800000,,
,-normal_f,,0xFF800000,,
,subnormal_a,,0x00000000,,
,-subnormal_a,,0x80000000,,
,subnormal_b,,0x00000000,,
,-subnormal_b,,0x80000000,,
